timestamp,open,high,low,close,volume
2026-01-07 18:00:00,7.98,7.98,7.8,7.85,7913798.9222888
2026-01-07 19:00:00,7.83,7.91,7.81,7.87,1918213.54769612
2026-01-07 20:00:00,7.9,7.98,7.89,7.92,1562248.4213963
2026-01-07 21:00:00,7.94,7.97,7.84,7.84,10944883.00767608
2026-01-07 22:00:00,7.86,8.11,7.84,7.96,63671092.07967711
2026-01-07 23:00:00,7.92,7.96,7.69,7.84,28692321.07307168
2026-01-08 00:00:00,7.83,7.84,7.67,7.7,12216419.70645762
2026-01-08 01:00:00,7.68,7.7,7.58,7.62,12118867.3836568
2026-01-08 02:00:00,7.6,7.64,7.57,7.57,7533181.99383622
2026-01-08 03:00:00,7.58,7.68,7.55,7.61,1750893.06227492
2026-01-08 04:00:00,7.6,7.64,7.55,7.64,930920.07176771
2026-01-08 05:00:00,7.61,7.61,7.54,7.56,1795267.45610079
2026-01-08 06:00:00,7.55,7.58,7.54,7.54,1615532.10610973
2026-01-08 07:00:00,7.54,7.57,7.49,7.49,2319411.95327588
2026-01-08 08:00:00,7.49,7.59,7.46,7.58,3868393.21477502
2026-01-08 09:00:00,7.57,7.62,7.55,7.62,11062100.91002048
2026-01-08 10:00:00,7.62,7.75,7.62,7.75,20386986.6122058
2026-01-08 11:00:00,7.75,8.06,7.7,7.77,68252517.58640844
2026-01-08 12:00:00,7.78,7.88,7.74,7.74,12971202.56537805
2026-01-08 13:00:00,7.74,7.85,7.7,7.78,12654635.62650056
2026-01-08 14:00:00,7.76,7.87,7.76,7.78,4043637.8807588
2026-01-08 15:00:00,7.81,7.82,7.67,7.67,11406288.6138942
2026-01-08 16:00:00,7.66,7.75,7.59,7.75,9992079.88005031
2026-01-08 17:00:00,7.76,7.83,7.65,7.68,5381414.6033977
2026-01-08 18:00:00,7.64,7.67,7.57,7.58,3176727.96232074
2026-01-08 19:00:00,7.57,7.69,7.55,7.68,2430831.89014631
2026-01-08 20:00:00,7.68,7.68,7.59,7.62,3806582.98780757
2026-01-08 21:00:00,7.62,7.64,7.55,7.56,6986514.7106268
2026-01-08 22:00:00,7.58,7.59,7.54,7.57,6146288.52039613
2026-01-08 23:00:00,7.57,7.63,7.56,7.63,7294092.50134912
2026-01-09 00:00:00,7.58,7.77,7.58,7.77,2873422.88221221
2026-01-09 01:00:00,7.79,7.8,7.69,7.74,5206118.47296097
2026-01-09 02:00:00,7.77,7.79,7.72,7.74,4820272.76153447
2026-01-09 03:00:00,7.74,7.74,7.62,7.62,8740537.86974678
2026-01-09 04:00:00,7.62,7.65,7.6,7.61,733245.27761466
2026-01-09 05:00:00,7.6,7.63,7.55,7.63,1675352.72572801
2026-01-09 06:00:00,7.63,7.74,7.63,7.71,1373175.6099391
2026-01-09 07:00:00,7.74,7.76,7.69,7.74,2449661.69405874
2026-01-09 08:00:00,7.74,7.82,7.74,7.76,2246154.43512373
2026-01-09 09:00:00,7.76,7.81,7.72,7.79,5509550.62772104
2026-01-09 10:00:00,7.79,7.88,7.69,7.73,12482946.65687828
2026-01-09 11:00:00,7.71,7.77,7.66,7.66,7227230.12487931
2026-01-09 12:00:00,7.69,7.76,7.67,7.73,5112393.40009937
2026-01-09 13:00:00,7.74,7.75,7.69,7.73,2138684.92479134
2026-01-09 14:00:00,7.73,7.73,7.71,7.72,492706.13558768
2026-01-09 15:00:00,7.72,7.75,7.71,7.72,1043950.43074798
2026-01-09 16:00:00,7.72,7.74,7.7,7.7,1190052.73593119
2026-01-09 17:00:00,7.7,7.7,7.59,7.62,4447187.85746753
2026-01-09 18:00:00,7.62,7.69,7.62,7.65,3448830.01841544
2026-01-09 19:00:00,7.62,7.67,7.62,7.67,561841.39901005
2026-01-09 20:00:00,7.65,7.68,7.65,7.66,866837.61783742
2026-01-09 21:00:00,7.65,7.65,7.6,7.61,1449134.29059772
2026-01-09 22:00:00,7.61,7.77,7.61,7.71,1993828.11229574
2026-01-09 23:00:00,7.73,7.74,7.61,7.62,1950607.64585876
2026-01-10 00:00:00,7.64,7.85,7.62,7.72,5055585.15214121
2026-01-10 01:00:00,7.75,7.84,7.75,7.78,1435458.34713731
2026-01-10 02:00:00,7.79,7.8,7.74,7.78,3743704.33988435
2026-01-10 03:00:00,7.79,7.79,7.71,7.75,1816982.59531551
2026-01-10 04:00:00,7.73,7.73,7.64,7.64,3062844.45322117
2026-01-10 05:00:00,7.66,7.68,7.65,7.65,1494402.23129911
2026-01-10 06:00:00,7.65,7.72,7.65,7.68,574130.71713827
2026-01-10 07:00:00,7.7,7.72,7.68,7.71,128420.66338872
2026-01-10 08:00:00,7.71,7.71,7.69,7.69,1172701.98097328
2026-01-10 09:00:00,7.69,7.69,7.65,7.65,1479277.48047779
2026-01-10 10:00:00,7.68,7.72,7.67,7.67,2092020.17681315
2026-01-10 11:00:00,7.68,7.68,7.61,7.62,4873434.01604947
2026-01-10 12:00:00,7.62,7.63,7.58,7.62,2941779.91108049
2026-01-10 13:00:00,7.62,7.64,7.59,7.64,5301146.96347626
2026-01-10 14:00:00,7.64,7.66,7.63,7.66,4757887.42579529
2026-01-10 15:00:00,7.66,7.7,7.65,7.67,2410402.18268075
2026-01-10 16:00:00,7.69,7.81,7.69,7.81,4809091.63260376
2026-01-10 17:00:00,7.81,7.95,7.81,7.95,15445083.4306799
2026-01-10 18:00:00,7.93,7.93,7.85,7.87,6772091.81884449
2026-01-10 19:00:00,7.87,7.87,7.82,7.84,1225535.59521429
2026-01-10 20:00:00,7.83,7.9,7.82,7.9,1685416.35967085
2026-01-10 21:00:00,7.91,7.91,7.85,7.91,1522565.88980614
2026-01-10 22:00:00,7.92,7.93,7.88,7.9,3401278.6023234
2026-01-10 23:00:00,7.9,7.9,7.85,7.87,4970580.31442605
2026-01-11 00:00:00,7.89,7.93,7.87,7.87,6749207.32206906
2026-01-11 01:00:00,7.87,7.89,7.86,7.86,1879929.43419035
2026-01-11 02:00:00,7.94,7.95,7.87,7.87,3156107.40202274
2026-01-11 03:00:00,7.86,7.9,7.83,7.9,2008178.05133466
2026-01-11 04:00:00,7.9,8.01,7.9,8.0,6925673.62285007
2026-01-11 05:00:00,7.99,8.0,7.93,7.95,6833185.15743526
2026-01-11 06:00:00,7.96,7.97,7.87,7.87,5244361.10641952
2026-01-11 07:00:00,7.84,7.85,7.75,7.75,3014925.12336409
2026-01-11 08:00:00,7.75,7.84,7.74,7.83,4309126.01427475
2026-01-11 09:00:00,7.81,7.84,7.76,7.84,10791553.76744933
2026-01-11 10:00:00,7.82,7.86,7.78,7.8,3671209.36192427
2026-01-11 11:00:00,7.8,7.82,7.8,7.8,843663.6313096
2026-01-11 12:00:00,7.8,7.81,7.78,7.79,127396.75954536
2026-01-11 13:00:00,7.79,7.82,7.78,7.82,2923018.70723412
2026-01-11 14:00:00,7.82,7.83,7.79,7.83,1372083.89553886
2026-01-11 15:00:00,7.82,7.84,7.8,7.84,4542541.06214776
2026-01-11 16:00:00,7.84,7.84,7.82,7.84,374483.86555136
2026-01-11 17:00:00,7.84,7.86,7.82,7.86,1112979.65527739
2026-01-11 18:00:00,7.85,7.89,7.85,7.89,2880537.57735264
2026-01-11 19:00:00,7.85,7.86,7.81,7.81,2472014.66981863
2026-01-11 20:00:00,7.81,7.83,7.78,7.83,4452836.91167096
2026-01-11 21:00:00,7.79,7.84,7.79,7.83,1092725.61684973
2026-01-11 22:00:00,7.83,7.83,7.79,7.8,1715624.49823028
2026-01-11 23:00:00,7.8,7.82,7.79,7.82,908166.51099678
2026-01-12 00:00:00,7.82,7.82,7.7,7.74,1767936.34629313
2026-01-12 01:00:00,7.74,7.82,7.73,7.79,898771.45569081
2026-01-12 02:00:00,7.76,7.79,7.74,7.75,196782.06479506
2026-01-12 03:00:00,7.75,7.77,7.73,7.77,67503.23619913
2026-01-12 04:00:00,7.79,7.79,7.76,7.76,73197.25568127
2026-01-12 05:00:00,7.71,7.71,7.67,7.69,1997312.68669504
2026-01-12 06:00:00,7.67,7.67,7.64,7.66,1558657.58745799
2026-01-12 07:00:00,7.68,7.68,7.59,7.62,3691045.57591725
2026-01-12 08:00:00,7.6,7.65,7.5,7.6,2503587.07835113
2026-01-12 09:00:00,7.61,9.12,7.59,7.77,1571048840.2778323
2026-01-12 10:00:00,7.81,8.06,7.75,7.92,242543800.20438674
2026-01-12 11:00:00,7.93,8.73,7.89,8.55,858844180.104174
2026-01-12 12:00:00,8.55,9.05,8.53,8.65,1019779939.0284299
2026-01-12 13:00:00,8.66,8.78,8.46,8.56,497039152.8139392
2026-01-12 14:00:00,8.58,8.64,8.4,8.49,198734284.5516223
2026-01-12 15:00:00,8.49,8.72,8.4,8.59,377792255.04345024
2026-01-12 16:00:00,8.6,8.7,8.33,8.37,386130483.01112604
2026-01-12 17:00:00,8.36,8.37,7.99,8.09,396008674.2901592
2026-01-12 18:00:00,8.1,8.18,8.06,8.07,133801109.46087797
2026-01-12 19:00:00,8.07,8.17,8.06,8.11,72953864.27513012
2026-01-12 20:00:00,8.12,8.2,8.09,8.17,81026361.61400834
2026-01-12 21:00:00,8.18,8.19,8.05,8.06,102099704.28099696
2026-01-12 22:00:00,8.06,8.06,7.87,7.93,164467085.3683672
2026-01-12 23:00:00,7.93,8.07,7.89,8.06,127720634.56226744
2026-01-13 00:00:00,8.04,8.16,7.99,8.07,122114769.0979686
2026-01-13 01:00:00,8.07,8.12,7.98,8.06,26907002.06008188
2026-01-13 02:00:00,8.04,8.08,7.96,8.04,28620622.99103871
2026-01-13 03:00:00,8.03,8.08,8.01,8.02,15201632.66276602
2026-01-13 04:00:00,8.01,8.04,7.99,8.04,8563815.5171737
2026-01-13 05:00:00,8.04,8.09,7.99,8.04,27349439.72914084
2026-01-13 06:00:00,8.05,8.15,8.02,8.05,46826447.08423588
2026-01-13 07:00:00,8.05,8.2,8.05,8.17,58890444.41153034
2026-01-13 08:00:00,8.17,8.34,8.13,8.31,198641300.70098937
2026-01-13 09:00:00,8.3,8.3,7.91,8.02,285209277.23897636
2026-01-13 10:00:00,8.02,8.03,7.82,7.86,127904403.5335448
2026-01-13 11:00:00,7.87,7.93,7.83,7.87,49441096.83017498
2026-01-13 12:00:00,7.87,7.87,7.8,7.82,43175572.40251942
2026-01-13 13:00:00,7.83,7.93,7.81,7.91,33663473.81306076
2026-01-13 14:00:00,7.91,8.01,7.91,7.97,45604998.07934905
2026-01-13 15:00:00,7.97,8.04,7.91,8.01,37036621.02316325
2026-01-13 16:00:00,8.01,8.05,7.95,7.96,32905409.77034678
2026-01-13 17:00:00,7.99,8.2,7.96,8.16,67585172.27422336
2026-01-13 18:00:00,8.17,8.24,8.1,8.16,56717247.41421248
2026-01-13 19:00:00,8.15,8.21,8.07,8.2,23450915.71942924
2026-01-13 20:00:00,8.2,8.38,8.16,8.31,56519638.7296776
2026-01-13 21:00:00,8.34,8.38,8.21,8.32,69992075.20035616
2026-01-13 22:00:00,8.32,8.49,8.29,8.46,57439737.19769979
2026-01-13 23:00:00,8.46,8.66,8.4,8.57,49556481.22495274
2026-01-14 00:00:00,8.58,8.69,8.4,8.44,78428968.64188145
2026-01-14 01:00:00,8.45,8.52,8.41,8.49,19117083.32746831
2026-01-14 02:00:00,8.49,8.55,8.45,8.52,6733908.66702436
2026-01-14 03:00:00,8.53,8.58,8.5,8.53,7150257.45712384
2026-01-14 04:00:00,8.53,8.55,8.48,8.53,7789714.02444542
2026-01-14 05:00:00,8.55,8.57,8.42,8.5,12669026.02774982
2026-01-14 06:00:00,8.5,8.54,8.48,8.53,4645659.31406278
